iata_code,name,municipality
MDT,Harrisburg International Airport,Harrisburg
MEM,Memphis International Airport,Memphis
MFR,Rogue Valley International Medford Airport,Medford
MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery
MGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown
MHK,Manhattan Regional Airport,Manhattan
MHT,Manchester-Boston Regional Airport,Manchester
MIA,Miami International Airport,Miami
MKE,General Mitchell International Airport,Milwaukee
MKL,McKellar-Sipes Regional Airport,Jackson
MLI,Quad City International Airport,Moline
MOB,Mobile Regional Airport,Mobile
MRY,Monterey Peninsula Airport,Monterey
MSN,Dane County Regional Truax Field,Madison
MSO,Missoula International Airport,Missoula
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis
MSS,Massena International Richards Field,Massena
MSY,Louis Armstrong New Orleans International Airport,New Orleans
MTJ,Montrose Regional Airport,Montrose
MVY,Martha's Vineyard Airport,Martha's Vineyard
MWA,Williamson County Regional Airport,Marion
MYR,Myrtle Beach International Airport,Myrtle Beach
YUM,Yuma MCAS/Yuma International Airport,Yuma
OAK,Metropolitan Oakland International Airport,Oakland
OGS,Ogdensburg International Airport,Ogdensburg
OKC,Will Rogers World Airport,Oklahoma City
OMA,Eppley Airfield,Omaha
ONT,Ontario International Airport,Ontario
ORD,Chicago O'Hare International Airport,Chicago
ORF,Norfolk International Airport,Norfolk
ORH,Worcester Regional Airport,Worcester
OTH,Southwest Oregon Regional Airport,North Bend
OWB,Owensboro Daviess County Airport,Owensboro
PBI,Palm Beach International Airport,West Palm Beach
PDX,Portland International Airport,Portland
PHF,Newport News Williamsburg International Airport,Newport News
PHL,Philadelphia International Airport,Philadelphia
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIA,General Wayne A. Downing Peoria International Airport,Peoria
PIT,Pittsburgh International Airport,Pittsburgh
PNS,Pensacola Regional Airport,Pensacola
PRC,Ernest A. Love Field,Prescott
PSC,Tri Cities Airport,Pasco
PSP,Palm Springs International Airport,Palm Springs
PVD,Theodore Francis Green State Airport,Providence
PWM,Portland International Jetport Airport,Portland
RAP,Rapid City Regional Airport,Rapid City
RDD,Redding Municipal Airport,Redding
RDM,Roberts Field,Redmond
RDU,Raleigh Durham International Airport,Raleigh/Durham
RIC,Richmond International Airport,Richmond
RNO,Reno Tahoe International Airport,Reno
ROA,Roanoke–Blacksburg Regional Airport,Roanoke
ROC,Greater Rochester International Airport,Rochester
RSW,Southwest Florida International Airport,Fort Myers
SAF,Santa Fe Municipal Airport,Santa Fe
SAN,San Diego International Airport,San Diego
SAT,San Antonio International Airport,San Antonio
SAV,Savannah Hilton Head International Airport,Savannah
SBA,Santa Barbara Municipal Airport,Santa Barbara
SBN,South Bend Regional Airport,South Bend
SBP,San Luis County Regional Airport,San Luis Obispo
SDF,Louisville International Standiford Field,Louisville
SEA,Seattle Tacoma International Airport,Seattle
SFO,San Francisco International Airport,San Francisco
SGF,Springfield Branson National Airport,Springfield
SHD,Shenandoah Valley Regional Airport,Staunton/Waynesboro/Harrisonburg
SHV,Shreveport Regional Airport,Shreveport
SJC,Norman Y. Mineta San Jose International Airport,San Jose
SLC,Salt Lake City International Airport,Salt Lake City
SLK,Adirondack Regional Airport,Saranac Lake
SLN,Salina Municipal Airport,Salina
SMF,Sacramento International Airport,Sacramento
SNA,John Wayne Airport-Orange County Airport,Santa Ana
SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton
STL,St Louis Lambert International Airport,St Louis
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa
SUN,Friedman Memorial Airport,Hailey
SUX,Sioux Gateway Col. Bud Day Field,Sioux City
SYR,Syracuse Hancock International Airport,Syracuse
TBN,Waynesville-St. Robert Regional Forney field,Fort Leonard Wood
TEX,Telluride Regional Airport,Telluride
TLH,Tallahassee Regional Airport,Tallahassee
TPA,Tampa International Airport,Tampa
TRI,Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport
TTN,Trenton Mercer Airport,Trenton
TUL,Tulsa International Airport,Tulsa
TUS,Tucson International Airport,Tucson
TVC,Cherry Capital Airport,Traverse City
TYS,McGhee Tyson Airport,Knoxville
UIN,Quincy Regional Baldwin Field,Quincy
SCE,University Park Airport,State College
VPS,Destin-Ft Walton Beach Airport,Valparaiso
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers
CUN,Cancún International Airport,Cancún
KOA,Ellison Onizuka Kona International At Keahole Airport,Kailua/Kona
LIH,Lihue Airport,Lihue
HNL,Daniel K Inouye International Airport,Honolulu
OGG,Kahului Airport,Kahului
GYE,José Joaquín de Olmedo International Airport,Guayaquil
BOG,El Dorado International Airport,Bogota
STT,Cyril E. King Airport,"Charlotte Amalie, Harry S. Truman Airport"
SJU,Luis Munoz Marin International Airport,San Juan
